Store Location (ship from),Store Email,Postcode,Suburb (Ship to) ,Distance from Store,Shipping Fee
Maribyrnong,highpoint@riseandshine.com.au,3051,North Melbourne,6.58,80
Maribyrnong,highpoint@riseandshine.com.au,3054,Princes Hill,6.8,80
Maribyrnong,highpoint@riseandshine.com.au,3055,Brunswick West,6.77,80
Maribyrnong,highpoint@riseandshine.com.au,3056,Brunswick Lower,6.01,80
Maribyrnong,highpoint@riseandshine.com.au,3008,Docklands,7.04,80
Maribyrnong,highpoint@riseandshine.com.au,3010,University Of Melbourne,7.05,80
Maribyrnong,highpoint@riseandshine.com.au,3015,Newport,7.52,80
Maribyrnong,highpoint@riseandshine.com.au,3019,Braybrook North,7.87,80
Maribyrnong,highpoint@riseandshine.com.au,3022,Ardeer,7.5,80
Maribyrnong,highpoint@riseandshine.com.au,3025,Altona East,7.13,80
Maribyrnong,highpoint@riseandshine.com.au,3034,Avondale Heights,7.19,80
Maribyrnong,highpoint@riseandshine.com.au,3036,Keilor,7.7,80
Maribyrnong,highpoint@riseandshine.com.au,3042,Airport West,7.03,80
Maribyrnong,highpoint@riseandshine.com.au,3043,Gowanbrae,7.67,80
Maribyrnong,highpoint@riseandshine.com.au,3044,Pascoe Vale,7.05,80
Maribyrnong,highpoint@riseandshine.com.au,3052,Melbourne University,7.05,80
Maribyrnong,highpoint@riseandshine.com.au,3053,Carlton,7.45,80
Maribyrnong,highpoint@riseandshine.com.au,3054,Carlton North,7.45,80
Maribyrnong,highpoint@riseandshine.com.au,3056,Brunswick North,7.78,80
Maribyrnong,highpoint@riseandshine.com.au,3058,Coburg,7.91,80
Maribyrnong,highpoint@riseandshine.com.au,3058,Moreland,7.31,80
Maribyrnong,highpoint@riseandshine.com.au,3000,Melbourne,8.64,80
Maribyrnong,highpoint@riseandshine.com.au,3005,World Trade Centre,8.04,80
Maribyrnong,highpoint@riseandshine.com.au,3006,Southbank,8.86,80
Maribyrnong,highpoint@riseandshine.com.au,3021,St Albans,8.27,80
Maribyrnong,highpoint@riseandshine.com.au,3022,Deer Park East,8.61,80
Maribyrnong,highpoint@riseandshine.com.au,3025,Altona North,8.19,80
Maribyrnong,highpoint@riseandshine.com.au,3033,Keilor East,8.96,80
Maribyrnong,highpoint@riseandshine.com.au,3038,Keilor Downs,8.53,80
Maribyrnong,highpoint@riseandshine.com.au,3046,Glenroy,8.25,80
Maribyrnong,highpoint@riseandshine.com.au,3046,Hadfield,8.83,80
Maribyrnong,highpoint@riseandshine.com.au,3055,Moreland West,8.15,80
Maribyrnong,highpoint@riseandshine.com.au,3057,Brunswick East,8.32,80
Maribyrnong,highpoint@riseandshine.com.au,3058,Batman,8.19,80
Maribyrnong,highpoint@riseandshine.com.au,3058,Merlynston,8.95,80
Maribyrnong,highpoint@riseandshine.com.au,3065,Fitzroy,8.7,80
Maribyrnong,highpoint@riseandshine.com.au,3068,Fitzroy North,8.74,80
Maribyrnong,highpoint@riseandshine.com.au,3073,Reservoir South,8.45,80
Maribyrnong,highpoint@riseandshine.com.au,3207,Garden City,8.65,80
Maribyrnong,highpoint@riseandshine.com.au,3016,Williamstown,9.18,80
Maribyrnong,highpoint@riseandshine.com.au,3016,Williamstown North,9.21,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Burnside Heights,9.99,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Deer Park,9.77,80
Maribyrnong,highpoint@riseandshine.com.au,3043,Gladstone Park,9.59,80
Maribyrnong,highpoint@riseandshine.com.au,3043,Tullamarine,9.82,80
Maribyrnong,highpoint@riseandshine.com.au,3047,Jacana,9.77,80
Maribyrnong,highpoint@riseandshine.com.au,3058,Coburg North,9,80
Maribyrnong,highpoint@riseandshine.com.au,3060,Fawkner East,9.26,80
Maribyrnong,highpoint@riseandshine.com.au,3060,Fawkner North,9.33,80
Maribyrnong,highpoint@riseandshine.com.au,3066,Collingwood,9.1,80
Maribyrnong,highpoint@riseandshine.com.au,3066,Collingwood North,9.38,80
Maribyrnong,highpoint@riseandshine.com.au,3068,Clifton Hill,9.46,80
Maribyrnong,highpoint@riseandshine.com.au,3070,Northcote,9.64,80
Maribyrnong,highpoint@riseandshine.com.au,3206,Albert Park,9.56,80
Maribyrnong,highpoint@riseandshine.com.au,3002,East Melbourne,10.1,80
Maribyrnong,highpoint@riseandshine.com.au,3004,Melbourne,10.56,80
Maribyrnong,highpoint@riseandshine.com.au,3021,Albanvale,10.67,80
Maribyrnong,highpoint@riseandshine.com.au,3021,Kings Park,10.27,80
Maribyrnong,highpoint@riseandshine.com.au,3026,Laverton North,10.83,80
Maribyrnong,highpoint@riseandshine.com.au,3030,Derrimut,10.39,80
Maribyrnong,highpoint@riseandshine.com.au,3036,Keilor North,10.02,80
Maribyrnong,highpoint@riseandshine.com.au,3047,Broadmeadows,10.91,80
Maribyrnong,highpoint@riseandshine.com.au,3053,Carlton South,10.28,80
Maribyrnong,highpoint@riseandshine.com.au,3067,Abbotsford,10.37,80
Maribyrnong,highpoint@riseandshine.com.au,3070,Northcote South,10.64,80
Maribyrnong,highpoint@riseandshine.com.au,3071,Thornbury,10.16,80
Maribyrnong,highpoint@riseandshine.com.au,3072,Preston,10.86,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Richmond South,10.3,80
Maribyrnong,highpoint@riseandshine.com.au,3123,Hawthorn East,10.23,80
Maribyrnong,highpoint@riseandshine.com.au,3205,South Melbourne,10.56,80
Maribyrnong,highpoint@riseandshine.com.au,3206,Middle Park,10.86,80
Maribyrnong,highpoint@riseandshine.com.au,3018,Altona,11.57,80
Maribyrnong,highpoint@riseandshine.com.au,3018,Seaholme,11,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Burnside,11.95,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Cairnlea,11.65,80
Maribyrnong,highpoint@riseandshine.com.au,3037,Delahey,11.37,80
Maribyrnong,highpoint@riseandshine.com.au,3038,Keilor Lodge,11.76,80
Maribyrnong,highpoint@riseandshine.com.au,3047,Dallas,11.98,80
Maribyrnong,highpoint@riseandshine.com.au,3049,Attwood,11.94,80
Maribyrnong,highpoint@riseandshine.com.au,3049,Westmeadows,11.34,80
Maribyrnong,highpoint@riseandshine.com.au,3072,Preston South,11.4,80
Maribyrnong,highpoint@riseandshine.com.au,3072,Preston West,11.14,80
Maribyrnong,highpoint@riseandshine.com.au,3078,Fairfield,11.67,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Cremorne,11.03,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Richmond,11.09,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Richmond East,11.29,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Richmond North,11.93,80
Maribyrnong,highpoint@riseandshine.com.au,3141,South Yarra,11.61,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Deer Park North,12.26,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Ravenhall,12.96,80
Maribyrnong,highpoint@riseandshine.com.au,3037,Taylors Hill,12.68,80
Maribyrnong,highpoint@riseandshine.com.au,3038,Taylors Lakes,12.09,80
Maribyrnong,highpoint@riseandshine.com.au,3038,Watergardens,12.72,80
Maribyrnong,highpoint@riseandshine.com.au,3045,Melbourne Airport,12.64,80
Maribyrnong,highpoint@riseandshine.com.au,3072,Preston Lower,12.27,80
Maribyrnong,highpoint@riseandshine.com.au,3073,Reservoir,12.46,80
Maribyrnong,highpoint@riseandshine.com.au,3073,Reservoir East,12.48,80
Maribyrnong,highpoint@riseandshine.com.au,3073,Reservoir North,12.99,80
Maribyrnong,highpoint@riseandshine.com.au,3078,Alphington,12.79,80
Maribyrnong,highpoint@riseandshine.com.au,3079,Ivanhoe North,12.99,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Burnley,12.13,80
Maribyrnong,highpoint@riseandshine.com.au,3121,Burnley North,12.27,80
Maribyrnong,highpoint@riseandshine.com.au,3122,Hawthorn North,12.24,80
Maribyrnong,highpoint@riseandshine.com.au,3122,Hawthorn West,12.6,80
Maribyrnong,highpoint@riseandshine.com.au,3142,Hawksburn,12.66,80
Maribyrnong,highpoint@riseandshine.com.au,3143,Armadale North,12.24,80
Maribyrnong,highpoint@riseandshine.com.au,3181,Prahran,12.6,80
Maribyrnong,highpoint@riseandshine.com.au,3182,St Kilda West,12.23,80
Maribyrnong,highpoint@riseandshine.com.au,3023,Caroline Springs,13.66,80
Maribyrnong,highpoint@riseandshine.com.au,3029,Truganina,13.25,80
Maribyrnong,highpoint@riseandshine.com.au,3037,Sydenham,13.52,80
Maribyrnong,highpoint@riseandshine.com.au,3072,Northland Centre,13,80
Maribyrnong,highpoint@riseandshine.com.au,3079,Ivanhoe,13.69,80
Maribyrnong,highpoint@riseandshine.com.au,3081,Heidelberg West,13.97,80
Maribyrnong,highpoint@riseandshine.com.au,3142,Toorak,13.81,80
Maribyrnong,highpoint@riseandshine.com.au,3181,Windsor,13,80
Maribyrnong,highpoint@riseandshine.com.au,3182,St Kilda,13.15,80
Maribyrnong,highpoint@riseandshine.com.au,3027,Laverton Raaf,14.51,80
Maribyrnong,highpoint@riseandshine.com.au,3028,Altona Meadows,14.32,80
Maribyrnong,highpoint@riseandshine.com.au,3028,Laverton,14.95,80
Maribyrnong,highpoint@riseandshine.com.au,3048,Coolaroo,14.24,80
Maribyrnong,highpoint@riseandshine.com.au,3048,Meadow Heights,14.26,80
Maribyrnong,highpoint@riseandshine.com.au,3049,Calder Park,14.09,80
Maribyrnong,highpoint@riseandshine.com.au,3059,Greenvale,14.67,80
Maribyrnong,highpoint@riseandshine.com.au,3073,Keon Park,14.23,80
Maribyrnong,highpoint@riseandshine.com.au,3081,Bellfield,14.27,80
Maribyrnong,highpoint@riseandshine.com.au,3081,Heidelberg Heights,14.79,80
Maribyrnong,highpoint@riseandshine.com.au,3083,Kingsbury,14.77,80
Maribyrnong,highpoint@riseandshine.com.au,3085,Macleod West,14.09,80
Maribyrnong,highpoint@riseandshine.com.au,3101,Cotham,14.47,80
Maribyrnong,highpoint@riseandshine.com.au,3101,Kew,14.98,80
Maribyrnong,highpoint@riseandshine.com.au,3102,Kew East,14.54,80
Maribyrnong,highpoint@riseandshine.com.au,3143,Armadale,14.97,80
Maribyrnong,highpoint@riseandshine.com.au,3144,Kooyong,14.79,80
Maribyrnong,highpoint@riseandshine.com.au,3183,Balaclava,14.23,80
Maribyrnong,highpoint@riseandshine.com.au,3183,St Kilda East,14.3,80
Maribyrnong,highpoint@riseandshine.com.au,3185,Ripponlea,14.91,80
Maribyrnong,highpoint@riseandshine.com.au,3019,Robinson,15.14,80
Maribyrnong,highpoint@riseandshine.com.au,3037,Hillside,15.82,80
Maribyrnong,highpoint@riseandshine.com.au,3061,Campbellfield,15.68,80
Maribyrnong,highpoint@riseandshine.com.au,3062,Somerton,15.59,80
Maribyrnong,highpoint@riseandshine.com.au,3064,Roxburgh Park,15.9,80
Maribyrnong,highpoint@riseandshine.com.au,3074,Thomastown,15.44,80
Maribyrnong,highpoint@riseandshine.com.au,3079,Ivanhoe East,15.26,80
Maribyrnong,highpoint@riseandshine.com.au,3083,La Trobe University,15.38,80
Maribyrnong,highpoint@riseandshine.com.au,3086,La Trobe University,15.38,80
Maribyrnong,highpoint@riseandshine.com.au,3122,Auburn South,15.93,80
Maribyrnong,highpoint@riseandshine.com.au,3123,Auburn,15.35,80
Maribyrnong,highpoint@riseandshine.com.au,3144,Malvern,15.8,80
Maribyrnong,highpoint@riseandshine.com.au,3184,Brighton Road,15.44,80
Maribyrnong,highpoint@riseandshine.com.au,3184,Elwood,15.31,80
Maribyrnong,highpoint@riseandshine.com.au,3028,Seabrook,16.03,80
Maribyrnong,highpoint@riseandshine.com.au,3063,Oaklands Junction,16.64,80
Maribyrnong,highpoint@riseandshine.com.au,3075,Lalor,16.75,80
Maribyrnong,highpoint@riseandshine.com.au,3075,Lalor Plaza,16.14,80
Maribyrnong,highpoint@riseandshine.com.au,3084,Eaglemont,16.09,80
Maribyrnong,highpoint@riseandshine.com.au,3084,Heidelberg,16.07,80
Maribyrnong,highpoint@riseandshine.com.au,3084,Rosanna,16.16,80
Maribyrnong,highpoint@riseandshine.com.au,3085,Macleod,16.95,80
Maribyrnong,highpoint@riseandshine.com.au,3104,Balwyn North,16.46,80
Maribyrnong,highpoint@riseandshine.com.au,3122,Hawthorn,16.06,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Camberwell,16.11,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Middle Camberwell,16.89,80
Maribyrnong,highpoint@riseandshine.com.au,3144,Malvern North,16.07,80
Maribyrnong,highpoint@riseandshine.com.au,3161,Caulfield Junction,16.39,80
Maribyrnong,highpoint@riseandshine.com.au,3162,Hopetoun Gardens,16.58,80
Maribyrnong,highpoint@riseandshine.com.au,3181,Prahran East,16.21,80
Maribyrnong,highpoint@riseandshine.com.au,3185,Elsternwick,16.04,80
Maribyrnong,highpoint@riseandshine.com.au,3188,Hampton North,16.55,80
Maribyrnong,highpoint@riseandshine.com.au,3428,Bulla,16.91,80
Maribyrnong,highpoint@riseandshine.com.au,3029,Tarneit,17.8,80
Maribyrnong,highpoint@riseandshine.com.au,3103,Balwyn,17.7,80
Maribyrnong,highpoint@riseandshine.com.au,3105,Bulleen,17.05,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Camberwell North,17.01,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Camberwell South,17.01,80
Maribyrnong,highpoint@riseandshine.com.au,3126,Canterbury,17.35,80
Maribyrnong,highpoint@riseandshine.com.au,3145,Caulfield East,17.7,80
Maribyrnong,highpoint@riseandshine.com.au,3145,Central Park,17.59,80
Maribyrnong,highpoint@riseandshine.com.au,3162,Caulfield,17.07,80
Maribyrnong,highpoint@riseandshine.com.au,3162,Caulfield South,17.27,80
Maribyrnong,highpoint@riseandshine.com.au,3185,Gardenvale,17.15,80
Maribyrnong,highpoint@riseandshine.com.au,3186,Brighton,17.97,80
Maribyrnong,highpoint@riseandshine.com.au,3186,Brighton North,17.6,80
Maribyrnong,highpoint@riseandshine.com.au,3187,Brighton East,17.72,80
Maribyrnong,highpoint@riseandshine.com.au,3076,Epping,18.68,80
Maribyrnong,highpoint@riseandshine.com.au,3083,Bundoora,18.3,80
Maribyrnong,highpoint@riseandshine.com.au,3084,Banyule,18.09,80
Maribyrnong,highpoint@riseandshine.com.au,3084,Viewbank,18.94,80
Maribyrnong,highpoint@riseandshine.com.au,3087,Watsonia,18.6,80
Maribyrnong,highpoint@riseandshine.com.au,3093,Lower Plenty,18.45,80
Maribyrnong,highpoint@riseandshine.com.au,3103,Balwyn East,18.88,80
Maribyrnong,highpoint@riseandshine.com.au,3104,Greythorn,18.85,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Hartwell,18.36,80
Maribyrnong,highpoint@riseandshine.com.au,3146,Glen Iris,18.24,80
Maribyrnong,highpoint@riseandshine.com.au,3161,Caulfield North,18.58,80
Maribyrnong,highpoint@riseandshine.com.au,3163,Glen Huntly,18.62,80
Maribyrnong,highpoint@riseandshine.com.au,3186,Dendy,18.84,80
Maribyrnong,highpoint@riseandshine.com.au,3187,North Road,18.14,80
Maribyrnong,highpoint@riseandshine.com.au,3030,Point Cook,19.53,80
Maribyrnong,highpoint@riseandshine.com.au,3082,Mill Park,19.44,80
Maribyrnong,highpoint@riseandshine.com.au,3085,Yallambie,19.75,80
Maribyrnong,highpoint@riseandshine.com.au,3087,Watsonia North,19.44,80
Maribyrnong,highpoint@riseandshine.com.au,3107,Templestowe Lower,19.2,80
Maribyrnong,highpoint@riseandshine.com.au,3124,Camberwell West,19.65,80
Maribyrnong,highpoint@riseandshine.com.au,3125,Surrey Hills South,19.68,80
Maribyrnong,highpoint@riseandshine.com.au,3126,Camberwell East,19.72,80
Maribyrnong,highpoint@riseandshine.com.au,3127,Mont Albert,19.94,80
Maribyrnong,highpoint@riseandshine.com.au,3127,Surrey Hills,19.41,80
Maribyrnong,highpoint@riseandshine.com.au,3127,Surrey Hills North,19.66,80
Maribyrnong,highpoint@riseandshine.com.au,3145,Darling,19.03,80
Maribyrnong,highpoint@riseandshine.com.au,3145,Malvern East,19.7,80
Maribyrnong,highpoint@riseandshine.com.au,3147,Ashburton,19.65,80
Maribyrnong,highpoint@riseandshine.com.au,3163,Carnegie,19.77,80
Maribyrnong,highpoint@riseandshine.com.au,3204,Ormond,19.8,100
Maribyrnong,highpoint@riseandshine.com.au,3029,Hoppers Crossing,20.22,80
Maribyrnong,highpoint@riseandshine.com.au,3063,Yuroke,20.61,80
Maribyrnong,highpoint@riseandshine.com.au,3064,Craigieburn,20.16,80
Maribyrnong,highpoint@riseandshine.com.au,3088,Greensborough,20.64,100
Maribyrnong,highpoint@riseandshine.com.au,3106,Templestowe,20.41,100
Maribyrnong,highpoint@riseandshine.com.au,3108,Doncaster,20.83,100
Maribyrnong,highpoint@riseandshine.com.au,3128,Wattle Park,20.47,100
Maribyrnong,highpoint@riseandshine.com.au,3129,Mont Albert North,20.21,100
Maribyrnong,highpoint@riseandshine.com.au,3147,Ashwood,20.77,100
Maribyrnong,highpoint@riseandshine.com.au,3163,Murrumbeena,20.51,100
Maribyrnong,highpoint@riseandshine.com.au,3204,Bentleigh,20.64,100
Maribyrnong,highpoint@riseandshine.com.au,3204,Mckinnon,20.16,100
Maribyrnong,highpoint@riseandshine.com.au,3335,Plumpton,20.21,100
Maribyrnong,highpoint@riseandshine.com.au,3088,Briar Hill,21.85,100
Maribyrnong,highpoint@riseandshine.com.au,3094,Montmorency,21.77,100
Maribyrnong,highpoint@riseandshine.com.au,3125,Bennettswood,21.64,100
Maribyrnong,highpoint@riseandshine.com.au,3128,Box Hill,21.06,100
Maribyrnong,highpoint@riseandshine.com.au,3128,Box Hill Central,21.27,100
Maribyrnong,highpoint@riseandshine.com.au,3128,Box Hill South,21.59,100
Maribyrnong,highpoint@riseandshine.com.au,3129,Box Hill North,21.4,100
Maribyrnong,highpoint@riseandshine.com.au,3148,Chadstone,21.27,100
Maribyrnong,highpoint@riseandshine.com.au,3148,Chadstone Centre,21.27,100
Maribyrnong,highpoint@riseandshine.com.au,3148,Holmesglen,21.18,100
Maribyrnong,highpoint@riseandshine.com.au,3166,Hughesdale,21.48,100
Maribyrnong,highpoint@riseandshine.com.au,3170,Mulgrave,21.78,100
Maribyrnong,highpoint@riseandshine.com.au,3188,Hampton East,21.94,100
Maribyrnong,highpoint@riseandshine.com.au,3192,Cheltenham North,21.65,100
Maribyrnong,highpoint@riseandshine.com.au,3204,Patterson,21.48,100
Maribyrnong,highpoint@riseandshine.com.au,3335,Rockbank,21.28,100
Maribyrnong,highpoint@riseandshine.com.au,3427,Diggers Rest,21.92,100
Maribyrnong,highpoint@riseandshine.com.au,3750,Wollert,21.71,100
Maribyrnong,highpoint@riseandshine.com.au,3128,Houston,22.83,100
Maribyrnong,highpoint@riseandshine.com.au,3129,Kerrimuir,22.29,100
Maribyrnong,highpoint@riseandshine.com.au,3165,Bentleigh East,22.8,100
Maribyrnong,highpoint@riseandshine.com.au,3166,Oakleigh,22.49,100
Maribyrnong,highpoint@riseandshine.com.au,3189,Moorabbin,22.14,100
Maribyrnong,highpoint@riseandshine.com.au,3191,Sandringham,22.66,100
Maribyrnong,highpoint@riseandshine.com.au,3752,Morang South,22.85,100
Maribyrnong,highpoint@riseandshine.com.au,3752,South Morang,22.85,100
Maribyrnong,highpoint@riseandshine.com.au,3064,Mickleham,23.8,100
Maribyrnong,highpoint@riseandshine.com.au,3088,Saint Helena,23.5,100
Maribyrnong,highpoint@riseandshine.com.au,3090,Plenty,23.9,100
Maribyrnong,highpoint@riseandshine.com.au,3130,Blackburn North,23.73,100
Maribyrnong,highpoint@riseandshine.com.au,3130,Blackburn South,23.78,100
Maribyrnong,highpoint@riseandshine.com.au,3130,Laburnum,23.38,100
Maribyrnong,highpoint@riseandshine.com.au,3165,Coatesville,23.08,100
Maribyrnong,highpoint@riseandshine.com.au,3166,Oakleigh East,23.8,100
Maribyrnong,highpoint@riseandshine.com.au,3190,Highett,23.23,100
Maribyrnong,highpoint@riseandshine.com.au,3429,Wildwood,23.55,100
Maribyrnong,highpoint@riseandshine.com.au,3024,Mount Cottrell,24.31,100
Maribyrnong,highpoint@riseandshine.com.au,3030,Werribee,24.6,100
Maribyrnong,highpoint@riseandshine.com.au,3030,Werribee South,24.6,100
Maribyrnong,highpoint@riseandshine.com.au,3095,Eltham,24.08,100
Maribyrnong,highpoint@riseandshine.com.au,3095,Eltham North,24.71,100
Maribyrnong,highpoint@riseandshine.com.au,3109,Doncaster Heights,24.08,100
Maribyrnong,highpoint@riseandshine.com.au,3125,Burwood,24.93,100
Maribyrnong,highpoint@riseandshine.com.au,3130,Blackburn,24.07,100
Maribyrnong,highpoint@riseandshine.com.au,3149,Mount Waverley,24.06,100
Maribyrnong,highpoint@riseandshine.com.au,3151,Burwood East,24.07,100
Maribyrnong,highpoint@riseandshine.com.au,3151,Burwood Heights,24.79,100
Maribyrnong,highpoint@riseandshine.com.au,3166,Huntingdale,24.29,100
Maribyrnong,highpoint@riseandshine.com.au,3193,Black Rock,24.89,100
Maribyrnong,highpoint@riseandshine.com.au,3024,Wyndham Vale,25.98,100
Maribyrnong,highpoint@riseandshine.com.au,3109,The Pines,25.02,100
Maribyrnong,highpoint@riseandshine.com.au,3131,Forest Hill,25.53,100
Maribyrnong,highpoint@riseandshine.com.au,3131,Nunawading,25.97,100
Maribyrnong,highpoint@riseandshine.com.au,3132,Mitcham North,25.92,100
Maribyrnong,highpoint@riseandshine.com.au,3149,Syndal,25.43,100
Maribyrnong,highpoint@riseandshine.com.au,3167,Oakleigh South,25.06,100
Maribyrnong,highpoint@riseandshine.com.au,3192,Cheltenham,25.84,100
Maribyrnong,highpoint@riseandshine.com.au,3192,Southland Centre,25.13,100
Maribyrnong,highpoint@riseandshine.com.au,3207,Port Melbourne,25.69,100
Maribyrnong,highpoint@riseandshine.com.au,3429,Sunbury,25.87,100
Maribyrnong,highpoint@riseandshine.com.au,3064,Donnybrook,26.78,100
Maribyrnong,highpoint@riseandshine.com.au,3091,Yarrambat,26.41,100
Maribyrnong,highpoint@riseandshine.com.au,3111,Donvale,26.56,100
Maribyrnong,highpoint@riseandshine.com.au,3149,Pinewood,26.08,100
Maribyrnong,highpoint@riseandshine.com.au,3168,Clayton,26.5,100
Maribyrnong,highpoint@riseandshine.com.au,3168,Notting Hill,26.83,100
Maribyrnong,highpoint@riseandshine.com.au,3169,Clarinda,26.53,100
Maribyrnong,highpoint@riseandshine.com.au,3192,Cheltenham East,26.56,100
Maribyrnong,highpoint@riseandshine.com.au,3193,Beaumaris,26.82,100
Maribyrnong,highpoint@riseandshine.com.au,3193,Black Rock North,26.82,100
Maribyrnong,highpoint@riseandshine.com.au,3194,Mentone East,26.88,100
Maribyrnong,highpoint@riseandshine.com.au,3751,Woodstock,26.94,100
Maribyrnong,highpoint@riseandshine.com.au,3800,Monash University,26.57,100
Maribyrnong,highpoint@riseandshine.com.au,3064,Kalkallo,27.83,100
Maribyrnong,highpoint@riseandshine.com.au,3095,Research,27.11,100
Maribyrnong,highpoint@riseandshine.com.au,3109,Doncaster East,27.46,100
Maribyrnong,highpoint@riseandshine.com.au,3131,Brentford Square,27.1,100
Maribyrnong,highpoint@riseandshine.com.au,3132,Mitcham,27.46,100
Maribyrnong,highpoint@riseandshine.com.au,3132,Rangeview,27.89,100
Maribyrnong,highpoint@riseandshine.com.au,3133,Vermont,27.98,100
Maribyrnong,highpoint@riseandshine.com.au,3133,Vermont South,27.69,100
Maribyrnong,highpoint@riseandshine.com.au,3150,Glen Waverley,27.15,100
Maribyrnong,highpoint@riseandshine.com.au,3169,Clayton South,27.95,100
Maribyrnong,highpoint@riseandshine.com.au,3193,Cromer,27.18,100
Maribyrnong,highpoint@riseandshine.com.au,3194,Mentone,27.96,100
Maribyrnong,highpoint@riseandshine.com.au,3754,Mernda,27.6,100
Maribyrnong,highpoint@riseandshine.com.au,3114,Park Orchards,28.9,100
Maribyrnong,highpoint@riseandshine.com.au,3337,Kurunjang,28.4,100
Maribyrnong,highpoint@riseandshine.com.au,3337,Melton,28.5,100
Maribyrnong,highpoint@riseandshine.com.au,3338,Eynesbury,28.13,100
